# sbprofile_multiband.py arguments:
#  bin = 1
#  exposuremap = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/expmap_total_masked_1000_1250.fits.gz
#  inimage = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/total_img_1000_1250.fits.gz
#  mask = None
#  outprofile = /home/jsanders/chandra/spt/sb-ccen/SPT-CLJ0000-5748/total_fg_prof_1000_1250.dat
#  oversample = 1
#  rmax = 2080
#  xc = 666.0
#  yc = 688.0
# rcentre(amin) rhalfwidth(amin) counts area(amin2) exposure sb
0.0041 0.0041 1.0 6.724e-05 29732.6943396 0.500193482993
0.0123 0.0041 4.0 0.00053792 29754.1775003 0.249916166232
0.0205 0.0041 10.0 0.00107584 29747.4640126 0.312465709981
0.0287 0.0041 5.0 0.0013448 29740.2134459 0.125016755239
0.0369 0.0041 6.0 0.00161376 29713.0014424 0.125131249104
0.0451 0.0041 11.0 0.0026896 29678.986438 0.137802127852
0.0533 0.0041 12.0 0.00242064 29662.8740675 0.167123611675
0.0615 0.0041 2.0 0.00322752 29657.9508432 0.0208939192775
0.0697 0.0041 8.0 0.00376544 29673.6156479 0.0715984776173
0.0779 0.0041 7.0 0.00376544 29693.9479249 0.0626057706192
0.0861 0.0041 2.0 0.00457232 29703.3129582 0.0147261251547
0.0943 0.0041 1.0 0.00430336 29721.6170849 0.00781843601936
0.1025 0.0041 8.0 0.0053792 29724.9066939 0.0500324528977
0.1107 0.0041 6.0 0.00618608 29730.8262387 0.0326233638295
0.1189 0.0041 5.0 0.00591712 29736.8444957 0.0284161178756
0.1271 0.0041 5.0 0.00645504 29736.0510835 0.0260488030638
0.1353 0.0041 3.0 0.00645504 29737.393781 0.0156285761477
0.1435 0.0041 5.0 0.00779984 29737.1391315 0.0215568413526
0.1517 0.0041 6.0 0.0080688 29738.7812352 0.0250045552017
0.1599 0.0041 3.0 0.0080688 29745.047157 0.0124996439424
0.1681 0.0041 3.0 0.00833776 29743.6091713 0.0120970144362
0.1763 0.0041 7.0 0.00968256 29741.496468 0.0243077648578
0.1845 0.0041 2.0 0.00914464 29735.6956636 0.00735504407029
0.1927 0.0041 8.0 0.0094136 29656.8894728 0.0286555433635
0.2009 0.0041 6.0 0.01022048 29504.2944212 0.0198973264102
0.2091 0.0041 5.0 0.01129632 29296.8930807 0.0151081556948
0.2173 0.0041 10.0 0.01183424 29186.8267577 0.0289516118163
0.2255 0.0041 4.0 0.01102736 29130.7728568 0.0124519231492
0.2337 0.0041 1.0 0.01129632 29081.8057223 0.00304397894866
0.2419 0.0041 0.0 0.01291008 29086.6330397 0.0
0.2501 0.0041 5.0 0.01264112 29034.948707 0.0136227061007
0.2583 0.0041 2.0 0.01398592 29050.0875669 0.00492256557359
0.2665 0.0041 2.0 0.013448 29049.3149994 0.00511960434896
0.2747 0.0041 0.0 0.01398592 29007.4310989 0.0
0.2829 0.0041 2.0 0.01533072 28986.7198534 0.00450057880581
0.2911 0.0041 3.0 0.01398592 28978.5114595 0.00740208625793
0.2993 0.0041 2.0 0.01559968 28947.0773786 0.00442903981051
0.3075 0.0041 1.0 0.01533072 28986.2487314 0.00225032597751
0.3157 0.0041 2.0 0.01721344 28976.0842755 0.00400979924273
0.3239 0.0041 2.0 0.01667552 29017.5996172 0.00413322574662
0.3321 0.0041 1.0 0.01586864 29033.8544061 0.00217047904656
0.3403 0.0041 2.0 0.01828928 28982.9952187 0.00377302881251
0.3485 0.0041 3.0 0.01775136 29035.0612478 0.00582058822764
0.3567 0.0041 2.0 0.01936512 28943.9341288 0.00356822508472
0.3649 0.0041 0.0 0.01855824 28857.8782435 0.0
0.3731 0.0041 2.0 0.01828928 28766.4260036 0.00380143421429
0.3813 0.0041 3.0 0.01990304 28736.7030775 0.00524523436923
0.3895 0.0041 3.0 0.01963408 28703.783375 0.00532318493831
0.3977 0.0041 2.0 0.02097888 28661.7036962 0.00332617959449
0.4059 0.0041 0.0 0.02044096 28617.3366931 0.0
0.4141 0.0041 2.0 0.02259264 28577.5268889 0.00309769297924
0.4223 0.0041 2.0 0.02178576 28499.2028657 0.00322125101131
